City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Pontal Do Parana,BR,85.98,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
323,Pedernales,DO,84.18,overcast clouds,18.0384,-71.744,Hotel Costa Marina
325,Naron,ES,66.56,overcast clouds,43.5167,-8.1528,Marcial
326,Libreville,GA,75.25,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
333,Mogadishu,SO,81.88,broken clouds,2.0371,45.3438,Hotel Juba
334,Puerto Asis,CO,81.09,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
335,Lethem,GY,87.57,overcast clouds,3.3803,-59.7968,Savannah Inn
337,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
341,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
343,Muisne,EC,79.59,overcast clouds,0.6,-80.0333,Quinta Samay
345,Bilara,IN,88.59,few clouds,26.1792,73.7056,SAILANI E-MITRA
346,Muborak,UZ,79.36,overcast clouds,39.2553,65.1528,Muborak temiryoʻl vakzali
348,Richards Bay,ZA,67.03,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
349,Angoche,MZ,78.58,clear sky,-16.2325,39.9086,Guest House HESADA
351,Coruripe,BR,85.1,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
352,Nouakchott,MR,82.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
354,Piranhas,BR,83.75,moderate rain,-16.4269,-51.8222,Planalto Hotel
355,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
359,Brasilia De Minas,BR,94.55,clear sky,-16.2064,-44.4333,Hotel Neris
362,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
365,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
367,Road Town,VG,84.24,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
368,Yazd,IR,84.31,broken clouds,31.8972,54.3675,Mozaffar Traditional Hotel
370,Point Pedro,LK,83.26,overcast clouds,9.8167,80.2333,Gtr homes
371,Huarmey,PE,74.21,broken clouds,-10.0681,-78.1522,Hotel Miramar
372,San Vicente,AR,84.34,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
373,Ewo,CG,81.52,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
377,Salinopolis,BR,75.16,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
378,Robertsport,LR,81.52,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
381,Iranshahr,IR,91.74,clear sky,27.2025,60.6848,نیک سرشت
382,Nurota,UZ,70.66,light rain,40.5614,65.6886,Guest House Ruslan Nurata & Tours
383,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
385,Grand-Lahou,CI,83.91,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
386,La Palma,US,84.9,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
387,Maues,BR,84.96,overcast clouds,-3.3836,-57.7186,Hotel Miramar
388,Isiro,CD,76.37,overcast clouds,2.7739,27.616,Guest House Hewa Bora
390,Sinazongwe,ZM,77.25,overcast clouds,-17.2614,27.4618,Lakeview Lodge
391,Srivardhan,IN,80.94,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
392,Caravelas,BR,82.27,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
393,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
397,Jalalpur Jattan,PK,85.87,haze,32.6374,74.2183,Maher Tent Service
398,Tibati,CM,79.45,broken clouds,6.4667,12.6333,Tibati Hotel
402,Nueva Guinea,NI,91.02,broken clouds,11.6876,-84.4562,Posadita La Reyna
405,Luwingu,ZM,65.12,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
